tt0	tt1	status	gates	wall_s	chain
0a	34	sat	5	0.05	F0 =  B ; F1 = !E ; E = !A  &  !D ; D = !c  &   C ; C =  b  &  !B ; B =  a  &  !c ; A = !b  &   c
0a	36	sat	5	0.05	F0 =  D ; F1 =  E ; E = !B  &  !C ; D =  a  &  !c ; C = !b  &   A ; B =  b  &  !A ; A = !a  &  !c
0a	38	sat	4	0.03	F0 =  A ; F1 = !D ; D = !B  &  !C ; C =  b  &   A ; B = !b  &   c ; A =  a  &  !c
0a	3a	sat	3	0.02	F0 =  A ; F1 = !C ; C = !A  &  !B ; B = !b  &   c ; A =  a  &  !c
0a	3c	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !B ; C =  a  &  !c ; B = !b  &   c ; A =  b  &  !c
0a	50	sat	2	0.01	F0 =  A ; F1 =  B ; B = !a  &   c ; A =  a  &  !c
0a	52	sat	4	0.03	F0 =  B ; F1 = !D ; D = !A  &  !C ; C = !b  &   B ; B =  a  &  !c ; A = !a  &   c
0a	54	sat	3	0.02	F0 =  A ; F1 =  C ; C = !a  &  !B ; B = !b  &  !c ; A =  a  &  !c
0a	56	sat	5	0.05	F0 =  A ; F1 = !E ; E = !C  &  !D ; D = !a  &  !B ; C = !b  &   A ; B = !b  &  !c ; A =  a  &  !c
0a	5a	sat	3	0.02	F0 =  A ; F1 = !C ; C = !A  &  !B ; B = !a  &   c ; A =  a  &  !c
0a	5c	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !B ; C =  a  &  !c ; B =  b  &  !c ; A = !a  &   c
0a	5e	sat	4	0.03	F0 =  A ; F1 = !D ; D = !A  &  !C ; C = !a  &  !B ; B = !b  &  !c ; A =  a  &  !c
0a	86	sat	6	0.09	F0 =  B ; F1 =  F ; F = !A  &   E ; E = !C  &  !D ; D = !b  &  !B ; C =  b  &   B ; B =  a  &  !c ; A = !a  &   c
0a	8c	sat	3	0.02	F0 =  B ; F1 =  C ; C =  b  &  !A ; B =  a  &  !c ; A = !a  &   c
0a	8e	sat	4	0.03	F0 =  A ; F1 =  D ; D = !B  &  !C ; C = !a  &   c ; B = !b  &  !A ; A =  a  &  !c
0a	94	sat	6	0.10	F0 =  A ; F1 =  F ; F = !D  &  !E ; E = !b  &  !B ; D =  b  &  !C ; C = !A  &  !B ; B = !a  &   c ; A =  a  &  !c
0a	96	sat	6	0.11	F0 =  A ; F1 = !F ; F = !D  &  !E ; E =  b  &   C ; D = !b  &  !C ; C = !A  &  !B ; B = !a  &   c ; A =  a  &  !c
0a	9c	sat	5	0.05	F0 =  E ; F1 =  D ; E =  a  &  !c ; D = !B  &  !C ; C =  b  &   A ; B = !b  &  !A ; A = !a  &   c
0a	a0	sat	2	0.01	F0 =  A ; F1 =  B ; B =  a  &   c ; A =  a  &  !c
0a	a2	sat	3	0.02	F0 =  A ; F1 =  C ; C =  a  &  !B ; B =  b  &  !c ; A =  a  &  !c
0a	aa	sat	1	0.01	F0 =  A ; F1 =  a ; A =  a  &  !c
0a	b0	sat	3	0.02	F0 =  B ; F1 =  C ; C =  c  &  !A ; B =  a  &  !c ; A = !a  &   b
0a	b2	sat	5	0.06	F0 =  E ; F1 =  D ; E =  a  &  !c ; D = !B  &  !C ; C = !a  &   b ; B = !c  &  !A ; A =  a  &  !b
0a	b8	sat	4	0.03	F0 =  A ; F1 =  D ; D = !B  &  !C ; C = !a  &   b ; B = !b  &  !c ; A =  a  &  !c
0a	c4	sat	2	0.01	F0 =  A ; F1 =  B ; B =  b  &  !A ; A =  a  &  !c
